Country,Region,Participations,Bloc,InDegree,OutDegree,TotalPointsReceived,TotalPointsGiven,AvgPtsReceivedPerEnc,AvgPtsGivenPerEnc,GiveReceiveRatio,Top5VotersForMe,Top5IVoteFor,Top5MutualPartners,StrongestMutualPair,LowVotersForMe
IE,Western Europe,59,3,51,51,4801,5220,3.212,3.556,1.107,AU (10); GB (7); CZ (6.43); DK (5.38); AT (5.21),LT (12.3); BG (9.89); LV (8.35); UA (6.8); PL (6.45),LT (17.3); AU (16.4); CZ (12.55); GB (11.72); LV (11.67),LT (17.3),MA; CS; GE; ME; AM
GB,Western Europe,68,3,51,51,4705,5402,2.565,3.494,1.362,MA (8); LU (4.86); IE (4.72); MT (4.54); AU (4),AU (12.78); BG (11.73); LT (11.42); LV (7.25); IE (7),AU (16.78); BG (14.01); LT (12.86); IE (11.72); MT (9.88),AU (16.78),CS; BY; ME; RS; AM
DK,Nordic,54,3,51,51,4535,4680,3.411,3.393,0.995,IS (8.9); HU (8); AU (8); NO (7.04); SE (6.82),AU (13.38); SE (10.35); CS (8.5); IS (8.24); UA (7.68),AU (21.38); SE (17.18); IS (17.14); NO (14.06); LV (11.75),AU (21.38),CS; YU; BA; AL
AT,Western Europe,58,3,51,51,4088,4619,3.366,3.995,1.187,BG (10.12); AU (7); LT (5.67); AM (5.58); GE (5.27),CS (18); BG (11); RS (9.71); HR (7.8); BA (7.71),BG (21.12); CS (18); RS (14.53); AM (12.75); CZ (12),BG (21.12),CS
MT,Southern Europe,38,3,50,50,3861,4267,4.161,4.102,0.986,AU (12.29); AM (10.2); AZ (9.83); SK (8); MK (6.94),IT (12); AZ (10.29); SE (9); AU (8.67); BG (7.55),AU (20.95); AZ (20.12); IT (18); AM (14.57); SK (13.4),AU (20.95),CS
DE,Western Europe,69,3,51,51,3740,5332,2.074,3.572,1.723,MA (10); ES (3.89); DK (3.66); PT (3.4); SK (3.17),CS (12.5); AU (10.6); PL (7.95); RS (6.6); TR (6.5),CS (12.5); AU (12.1); PL (10.76); MA (10); TR (9.11),CS (12.5),CS; ME; AZ; BY; MK
SK,Eastern Europe,7,3,40,41,144,638,0.894,3.08,3.444,MT (5.4); UA (4.67); MD (2.33); RS (2.33); BA (2.2),MT (8); SE (7.5); UA (7.5); AZ (7.25); EE (6.86),MT (13.4); UA (12.17); BA (9.03); SE (8.1); BE (7.75),MT (13.4),CY; DE; HU; LT; NL
MA,Other,1,3,18,18,7,58,0.389,3.222,8.286,IT (7); AT (0); BE (0); DK (0); FI (0),TR (12); DE (10); GB (8); CH (7); SE (6),TR (12); DE (10); GB (8); CH (7); IT (7),TR (12),AT; BE; DK; FI; FR
IL,Mediterranean,48,4,50,50,6365,4786,5.284,4.203,0.795,AZ (12.93); AU (11.6); CZ (9.85); FR (8.54); AD (7.5),UA (12); AU (11.67); AM (10.27); RU (10.25); RO (9.89),AU (23.27); AZ (19.87); CZ (18.65); UA (18.06); AM (17.48),AU (23.27),
RU,Eastern Europe,24,4,48,48,5422,2668,7.208,4.078,0.566,AZ (20); AM (19.73); MD (17.8); BY (15.14); ME (12.3),AZ (19.36); AM (17); MD (12.33); UA (11.47); BY (11.12),AZ (39.36); AM (36.73); MD (30.13); BY (26.27); UA (21.73),AZ (39.36),MC
CY,Mediterranean,42,4,50,50,4092,4408,4.07,4.237,1.041,GR (16.84); AM (15); AU (9); MC (8); SM (7.91),GR (15.78); CS (15); BG (13.2); UA (9.95); AM (9.71),GR (32.62); AM (24.71); BG (20.11); AU (17.33); CS (17),GR (32.62),BA; TR
MD,Eastern Europe,20,4,49,49,3568,3016,5.62,4.701,0.837,RO (18.38); IT (17.67); PT (13.57); RU (12.33); AU (10.71),RO (17.8); RU (17.8); UA (16.94); AZ (11.93); BG (9.44),RO (36.17); RU (30.13); UA (26.87); IT (22.74); PT (20.03),RO (36.17),MC; LU
AM,Caucasus,18,4,49,47,3472,2726,5.601,4.639,0.828,GE (18.85); FR (17.43); RU (17); BG (13.8); GR (12.88),RU (19.73); GE (16.45); CY (15); GR (12.76); MT (10.2),RU (36.73); GE (35.3); FR (25.84); GR (25.64); CY (24.71),RU (36.73),MC; CS; AZ; IE; AD
GE,Caucasus,18,4,47,47,1743,2842,3.554,4.835,1.36,AM (16.45); TR (13); LT (12.75); UA (11.7); AZ (11.22),AM (18.85); UA (15.4); AZ (15.08); LV (10.1); LT (10.07),AM (35.3); UA (27.1); AZ (26.31); LT (22.82); TR (20.4),AM (35.3),AD; SK; LU; CH; NO
BY,Eastern Europe,17,4,48,48,1393,2320,2.888,4.362,1.51,UA (12.92); RU (11.12); AZ (9.33); GE (8.7); MD (7.7),UA (15.36); RU (15.14); AU (11.4); CS (10); MD (9.45),UA (28.27); RU (26.27); GE (17.5); MD (17.15); AZ (15.25),UA (28.27),AD; CS; DE; CH; SM
YU,Other,27,4,23,23,1013,1145,2.537,2.49,0.982,IS (6.86); TR (6.67); CY (5.9); IL (4.86); DK (3.12),CY (5.2); IL (4.36); IT (3.92); FR (3.72); GB (3.52),CY (11.1); TR (10.17); IL (9.21); IS (7.43); GB (6.07),CY (11.1),
UA,Eastern Europe,21,5,49,49,6743,3016,8.926,4.78,0.536,IT (17.42); MD (16.94); LT (15.63); AZ (15.47); GE (15.4),CS (13.5); BY (12.92); GE (11.7); AZ (10.69); AU (10.57),BY (28.27); GE (27.1); MD (26.87); AZ (26.16); LT (24.63),BY (28.27),
PT,Southern Europe,57,5,51,51,4317,4827,3.376,3.688,1.092,AD (10.67); CZ (7.83); FR (7.12); AM (6.85); MD (6.46),MD (13.57); UA (13.22); CS (8.5); BG (7); AU (6.86),MD (20.03); UA (17.58); CZ (14.13); AD (12.67); AU (11.75),MD (20.03),MA; CS; RU; BA
LT,Baltic,26,5,49,49,3338,3538,4.092,4.236,1.035,LV (13.85); LU (13); IE (12.3); GB (11.42); GE (10.07),LV (17.21); UA (15.63); GE (12.75); RU (9.89); EE (9.6),LV (31.06); UA (24.63); GE (22.82); IE (17.3); LU (17),LV (31.06),BA; TR
LV,Baltic,26,5,49,49,2412,3538,3.592,4.079,1.135,LT (17.21); GE (10.1); EE (9.11); LU (9); IE (8.35),LT (13.85); UA (13); EE (12.09); RU (12); AU (10.12),LT (31.06); EE (21.2); UA (17.93); AU (17.79); GE (15.18),LT (31.06),CS; SK; AL; BG; BA
LU,Western Europe,39,5,42,42,1742,1834,3.106,3.033,0.976,ME (13); MD (9); AZ (8); AL (6); RS (5.5),LT (13); HR (11.5); UA (10); LV (9); AL (7),LT (17); HR (15.5); UA (15.5); AL (13); LV (13),LT (17),MA; BA; AM; CZ; EE
CH,Western Europe,66,6,51,51,5486,5164,4.024,3.621,0.9,AL (7.94); MD (7.09); MA (7); PL (6.53); CZ (6.36),CS (18); RS (13.93); AL (11.74); AU (7.57); MK (6.38),AL (19.68); RS (19.2); CS (18.67); AU (12.7); HR (9.87),AL (19.68),CS; BA
IT,Southern Europe,51,6,49,49,5382,3849,5.156,4.447,0.862,AL (14.86); MT (12); SM (11.79); HR (10.5); SI (10.19),MD (17.67); UA (17.42); AL (12.64); RO (10.3); PL (7.89),AL (27.49); MD (22.74); UA (21.75); MT (18); SM (17.79),AL (27.49),MA
NL,Western Europe,66,7,51,51,5432,5182,3.725,3.533,0.948,HU (9.15); SM (8.27); AM (6.79); LT (5.95); IS (5.78),CS (13); AM (11.27); UA (6.95); IL (6.56); AU (6.12),AM (18.05); HU (15.01); CS (13.33); UA (11.36); BE (10.46),AM (18.05),MA; CS
AZ,Caucasus,18,7,47,47,3550,2842,6.328,5.393,0.852,RU (19.36); TR (16.8); GE (15.08); MD (11.93); CZ (11.3),RU (20); UA (15.47); TR (14.4); IL (12.93); GE (11.22),RU (39.36); TR (31.2); GE (26.31); UA (26.16); MT (20.12),RU (39.36),LU; AM
TR,Mediterranean,34,7,50,50,2786,2494,3.85,3.613,0.939,AZ (14.4); BG (13.71); AL (12.56); MA (12); MK (11.36),AZ (16.8); GE (13); AM (12.5); BA (10.29); CS (7.5),AZ (31.2); BG (20.71); GE (20.4); AL (19.22); BA (18.61),AZ (31.2),LV; CY; RS; SK; PT
HU,Eastern Europe,17,7,48,48,2545,2204,4.761,4.093,0.86,RS (14.18); CS (14); RO (12.36); FI (8.77); AD (8.5),AU (12); AZ (11); BG (10.29); CZ (9.4); NL (9.15),RS (20.38); AZ (18.67); RO (17.36); CZ (16.26); CS (16),RS (20.38),MC
SM,Southern Europe,16,7,46,46,811,2610,2.217,5.128,2.313,AL (7.56); IT (6); BA (5); TR (5); AZ (4.73),GR (12.64); BG (11.8); IT (11.79); AU (9.29); MD (8.36),IT (17.79); GR (16.82); AL (13.64); MD (12.79); BG (12.47),IT (17.79),IE; LT; LU; DE; NO
RS,Balkans,18,8,47,47,3382,2842,5.831,5.442,0.933,ME (23.4); MK (21.17); BA (18.33); HR (16.47); SI (16),MK (16); HR (15.5); ME (14.29); HU (14.18); BG (14),ME (37.69); MK (37.17); HR (31.97); BA (31.33); SI (27.73),ME (37.69),AD; TR
HR,Balkans,31,8,49,49,3323,3712,4.692,4.614,0.983,RS (15.5); CS (14); LU (11.5); MK (11.47); SI (11.08),CS (18); RS (16.47); MK (12.15); CZ (10.71); IT (10.5),CS (32); RS (31.97); MK (23.62); BA (20.56); SI (19.32),CS (32),AD
AL,Balkans,22,8,49,49,2655,3306,4.045,5.002,1.237,MK (18.79); GR (15.21); ME (14.3); IT (12.64); CH (11.74),GR (16.55); MK (15.25); IT (14.86); TR (12.56); BG (11.6),MK (34.04); GR (31.76); IT (27.49); ME (22.9); CH (19.68),MK (34.04),LT; EE; IE; IL; LV
BA,Balkans,19,8,48,49,2188,1798,4.153,3.936,0.948,ME (15.4); CS (13.67); RS (13); MK (11.6); TR (10.29),RS (18.33); CS (17); AU (13); MK (12.67); HR (10.35),RS (31.33); CS (30.67); ME (24.9); MK (24.27); HR (20.56),RS (31.33),LU; HU; EE; AD; LV
SI,Balkans,31,8,49,49,2059,3828,2.828,4.568,1.615,RS (11.73); ME (11.38); HR (8.24); BA (7.33); CZ (7.29),CS (17); RS (16); HR (11.08); MK (11); IT (10.19),RS (27.73); CS (21.67); HR (19.32); ME (19.25); MK (16.64),RS (27.73),LU; CH; AM; GB
MK,Balkans,22,8,48,48,1858,2958,4.042,4.818,1.192,CS (19.67); RS (16); AL (15.25); BA (12.67); ME (12.4),RS (21.17); AL (18.79); CS (15); BG (13.33); BA (11.6),RS (37.17); CS (34.67); AL (34.04); BA (24.27); HR (23.62),RS (37.17),BE; ES; AD; EE; LT
CS,Other,3,8,38,39,663,348,8.816,3.265,0.37,AT (18); HR (18); CH (18); BA (17); SI (17),MK (19.67); HR (14); HU (14); BA (13.67); GR (11.67),MK (34.67); HR (32); BA (30.67); GR (23.67); UA (21.83),MK (34.67),EE
ME,Balkans,13,8,46,46,609,2146,2.128,5.405,2.54,RS (14.29); BA (9.5); AL (8.6); MK (8); SI (7.88),RS (23.4); BA (15.4); AL (14.3); LU (13); MK (12.4),RS (37.69); BA (24.9); AL (22.9); MK (20.4); SI (19.25),RS (37.69),AT; BE; BG; EE; GE
